Sport-Indices,Distance,Similarity,Sport_X,Sport_Y
"('Boxing', 'Ice Hockey')",0.8298286148878459,0.5464992687641909,Boxing,Ice Hockey
"('Boxing', 'Football')",0.7895681391526452,0.5587940342263228,Boxing,Football
"('Boxing', 'Basketball')",1.1271902654351027,0.4701036932375471,Boxing,Basketball
"('Boxing', 'Wrestling')",1.1176404691057062,0.4722236916931923,Boxing,Wrestling
"('Boxing', 'Martial Arts')",1.0975873296241065,0.4767381962491177,Boxing,Martial Arts
"('Boxing', 'Tennis')",1.3889421779785227,0.4185953135316908,Boxing,Tennis
"('Boxing', 'Gymnastics')",1.3739595216647038,0.4212371739593795,Boxing,Gymnastics
"('Boxing', 'Baseball/Softball')",1.2136392099970994,0.45174479900964093,Boxing,Baseball/Softball
"('Boxing', 'Soccer')",1.4256741247517046,0.4122565309972795,Boxing,Soccer
"('Boxing', 'Skiing: Alpine')",1.0820590994995192,0.48029376315032457,Boxing,Skiing: Alpine
"('Boxing', 'Water Polo')",0.9483991369307694,0.5132418615085499,Boxing,Water Polo
"('Boxing', 'Rugby')",0.829336186003441,0.5466463778780348,Boxing,Rugby
"('Boxing', 'Lacrosse')",1.1918377729529501,0.45623814514919664,Boxing,Lacrosse
"('Boxing', 'Rodeo: Steer Wrestling')",1.1356355496667445,0.46824468723422635,Boxing,Rodeo: Steer Wrestling
"('Boxing', 'Track and Field: Pole Vault')",1.4626124813614314,0.40607282208167794,Boxing,Track and Field: Pole Vault
"('Boxing', 'Field Hockey')",1.3808144089950438,0.4200243396637145,Boxing,Field Hockey
"('Boxing', 'Speed Skating')",1.5357840739267816,0.3943553436911735,Boxing,Speed Skating
"('Boxing', 'Figure Skating')",1.637607622980211,0.37913144900230017,Boxing,Figure Skating
"('Boxing', 'Cycling: Distance')",1.251156553663628,0.44421610677078743,Boxing,Cycling: Distance
"('Boxing', 'Volleyball')",1.4915485105029382,0.40135682519709087,Boxing,Volleyball
"('Boxing', 'Racquetball/Squash')",1.8519297768511376,0.3506397696454211,Boxing,Racquetball/Squash
"('Boxing', 'Surfing')",1.422879145879714,0.41273210085636103,Boxing,Surfing
"('Boxing', 'Fencing')",1.64725143296403,0.3777502913202079,Boxing,Fencing
"('Boxing', 'Skiing: Freestyle')",1.5579172415779312,0.39094306248278726,Boxing,Skiing: Freestyle
"('Boxing', 'Team Handball')",1.6790196461489617,0.3732708722153197,Boxing,Team Handball
"('Boxing', 'Cycling: Sprints')",1.5466723351615033,0.392669283045627,Boxing,Cycling: Sprints
"('Boxing', 'Bobsledding/Luge')",1.596150764866727,0.3851856423489854,Boxing,Bobsledding/Luge
"('Boxing', 'Ski Jumping')",1.6366210205584029,0.37927331694723904,Boxing,Ski Jumping
"('Boxing', 'Badminton')",2.0703186038145014,0.32569909805373953,Boxing,Badminton
"('Boxing', 'Skiing: Nordic')",1.664587480740323,0.3752926136702264,Boxing,Skiing: Nordic
"('Boxing', 'Auto Racing')",1.9696080094304702,0.33674478140695285,Boxing,Auto Racing
"('Boxing', 'Track and Field: High Jump')",1.9364351149550216,0.34054898570960496,Boxing,Track and Field: High Jump
"('Boxing', 'Track and Field: Long, Triple jumps')",1.887456171728797,0.3463256030657856,Boxing,"Track and Field: Long, Triple jumps"
"('Boxing', 'Diving')",2.0215446979551897,0.3309565470524872,Boxing,Diving
"('Boxing', 'Swimming (all strokes): Distance')",1.8969116419492162,0.34519520220062355,Boxing,Swimming (all strokes): Distance
"('Boxing', 'Skateboarding')",1.7350812142466143,0.3656198561092647,Boxing,Skateboarding
"('Boxing', 'Track and Field: Sprints')",2.167636503583047,0.3156927882567516,Boxing,Track and Field: Sprints
"('Boxing', 'Rowing')",1.8655057894675924,0.34897853065786294,Boxing,Rowing
"('Boxing', 'Rodeo: Calf Roping')",1.7156119146451863,0.36824112996670844,Boxing,Rodeo: Calf Roping
"('Boxing', 'Track and Field: Distance')",1.9556855404978029,0.33833098490970653,Boxing,Track and Field: Distance
"('Boxing', 'Rodeo: Bull/Bareback/Bronc Riding')",1.8106772702623148,0.3557861340326248,Boxing,Rodeo: Bull/Bareback/Bronc Riding
"('Boxing', 'Track and Field: Middle Distance')",1.949081934409492,0.3390885781544874,Boxing,Track and Field: Middle Distance
"('Boxing', 'Weight-Lifting')",2.039133747337904,0.32904112919542916,Boxing,Weight-Lifting
"('Boxing', 'Swimming (all strokes): Sprints')",2.092801503316934,0.323331451736405,Boxing,Swimming (all strokes): Sprints
"('Boxing', 'Water Skiing')",1.7457587941796688,0.36419805050602155,Boxing,Water Skiing
"('Boxing', 'Table Tennis')",2.2788713073516536,0.3049829975814759,Boxing,Table Tennis
"('Boxing', 'Track and Field: Weights')",2.055994334898144,0.327225737489245,Boxing,Track and Field: Weights
"('Boxing', 'Canoe/Kayak')",1.8820530624450642,0.34697487462344784,Boxing,Canoe/Kayak
"('Boxing', 'Horse Racing')",2.003370006922903,0.3329593082753557,Boxing,Horse Racing
"('Boxing', 'Golf')",2.261080214145291,0.3066468575849165,Boxing,Golf
"('Boxing', 'Cheerleading')",2.4442986903181683,0.29033486637235423,Boxing,Cheerleading
"('Boxing', 'Roller Skating')",2.241649911926768,0.30848488491023424,Boxing,Roller Skating
"('Boxing', 'Equestrian')",2.4303398534899343,0.2915163052962893,Boxing,Equestrian
"('Boxing', 'Archery')",2.518281575392151,0.28422966683345663,Boxing,Archery
"('Boxing', 'Curling')",2.7051455524795944,0.26989493012785154,Boxing,Curling
"('Boxing', 'Bowling')",2.758483365126775,0.266064766782936,Boxing,Bowling
"('Boxing', 'Shooting')",2.8385674530537703,0.2605138537306282,Boxing,Shooting
"('Boxing', 'Billiards')",3.1059033700472005,0.24355176190824585,Boxing,Billiards
"('Boxing', 'Fishing')",3.30286258312161,0.23240342462308597,Boxing,Fishing
"('Ice Hockey', 'Boxing')",0.8298286148878459,0.5464992687641909,Ice Hockey,Boxing
"('Ice Hockey', 'Football')",0.6591083562686411,0.6027333876185246,Ice Hockey,Football
"('Ice Hockey', 'Basketball')",0.44865829563971116,0.6902939105860098,Ice Hockey,Basketball
"('Ice Hockey', 'Wrestling')",1.0226272904937626,0.49440646069592026,Ice Hockey,Wrestling
"('Ice Hockey', 'Martial Arts')",0.8655180161647387,0.5360441396625423,Ice Hockey,Martial Arts
"('Ice Hockey', 'Tennis')",0.9025526297261133,0.5256096385328155,Ice Hockey,Tennis
"('Ice Hockey', 'Gymnastics')",1.530579724880685,0.39516636846805897,Ice Hockey,Gymnastics
"('Ice Hockey', 'Baseball/Softball')",0.8842240945555232,0.5307224352397923,Ice Hockey,Baseball/Softball
"('Ice Hockey', 'Soccer')",0.8653967813422979,0.5360789779429245,Ice Hockey,Soccer
"('Ice Hockey', 'Skiing: Alpine')",1.0929311073843913,0.47779881357381837,Ice Hockey,Skiing: Alpine
"('Ice Hockey', 'Water Polo')",0.8603104940002368,0.5375446750556645,Ice Hockey,Water Polo
"('Ice Hockey', 'Rugby')",0.9431497232084073,0.5146283830094485,Ice Hockey,Rugby
"('Ice Hockey', 'Lacrosse')",0.7432830187533338,0.5736303223530081,Ice Hockey,Lacrosse
"('Ice Hockey', 'Rodeo: Steer Wrestling')",1.4723508845162805,0.4044733319460242,Ice Hockey,Rodeo: Steer Wrestling
"('Ice Hockey', 'Track and Field: Pole Vault')",1.5914229874883183,0.385888372846931,Ice Hockey,Track and Field: Pole Vault
"('Ice Hockey', 'Field Hockey')",1.0806396155178153,0.480621436091962,Ice Hockey,Field Hockey
"('Ice Hockey', 'Speed Skating')",1.7295581240380113,0.36635966502909106,Ice Hockey,Speed Skating
"('Ice Hockey', 'Figure Skating')",1.655302150865269,0.37660497494574596,Ice Hockey,Figure Skating
"('Ice Hockey', 'Cycling: Distance')",1.552651420833442,0.3917495322073781,Ice Hockey,Cycling: Distance
"('Ice Hockey', 'Volleyball')",1.1728665128094553,0.46022155254582486,Ice Hockey,Volleyball
"('Ice Hockey', 'Racquetball/Squash')",1.4605179477250534,0.40641849449811185,Ice Hockey,Racquetball/Squash
"('Ice Hockey', 'Surfing')",1.5081231077835606,0.3987045121097363,Ice Hockey,Surfing
"('Ice Hockey', 'Fencing')",1.3187525702253624,0.43126636832269205,Ice Hockey,Fencing
"('Ice Hockey', 'Skiing: Freestyle')",1.6221179665181407,0.3813710949579742,Ice Hockey,Skiing: Freestyle
"('Ice Hockey', 'Team Handball')",1.3824600565519365,0.41973421432604,Ice Hockey,Team Handball
"('Ice Hockey', 'Cycling: Sprints')",1.6084031605453388,0.383376318172736,Ice Hockey,Cycling: Sprints
"('Ice Hockey', 'Bobsledding/Luge')",1.754131979222193,0.3630908059396683,Ice Hockey,Bobsledding/Luge
"('Ice Hockey', 'Ski Jumping')",1.9009913463080232,0.3447097494008937,Ice Hockey,Ski Jumping
"('Ice Hockey', 'Badminton')",1.6806963551024576,0.3730374005607134,Ice Hockey,Badminton
"('Ice Hockey', 'Skiing: Nordic')",1.7815144202072668,0.3595163817002553,Ice Hockey,Skiing: Nordic
"('Ice Hockey', 'Auto Racing')",2.0275284187815297,0.33030243210812327,Ice Hockey,Auto Racing
"('Ice Hockey', 'Track and Field: High Jump')",1.969507348064174,0.33675619649565824,Ice Hockey,Track and Field: High Jump
